folder,category,title,url
Getting Started,Initial Setup,Get Started with TimeXtender,https://support.timextender.com/initial-setup-start-here-115/get-started-with-timextender-794
Getting Started,Initial Setup,How to Configure TimeXtender Portal and Desktop,https://support.timextender.com/initial-setup-start-here-115/how-to-configure-timextender-portal-and-desktop-654
Getting Started,Initial Setup,Install TimeXtender,https://support.timextender.com/initial-setup-start-here-115/install-timextender-697
Getting Started,Initial Setup,TimeXtender Prerequisites,https://support.timextender.com/initial-setup-start-here-115/timextender-prerequisites-699
Getting Started,Initial Setup,Configure your Firewall,https://support.timextender.com/initial-setup-start-here-115/configure-your-firewall-700
Getting Started,Initial Setup,Certification Exam Study Guide,https://support.timextender.com/initial-setup-start-here-115/certification-exam-study-guide-703
Getting Started,Initial Setup,Self-Service Troubleshooting in TimeXtender,https://support.timextender.com/initial-setup-start-here-115/self-service-troubleshooting-in-timextender-623
Getting Started,Initial Setup,Instances and Settings,https://support.timextender.com/initial-setup-start-here-115/instances-and-settings-1014
Getting Started,Initial Setup,User Interface,https://support.timextender.com/initial-setup-start-here-115/user-interface-999
Getting Started,Reference Architectures,Azure Synapse Dedicated SQL Pool Reference Architecture,https://support.timextender.com/reference-architectures-125/azure-synapse-dedicated-sql-pool-reference-architecture-807
Getting Started,Reference Architectures,Snowflake Database Reference Architecture,https://support.timextender.com/reference-architectures-125/snowflake-database-reference-architecture-870
Getting Started,Reference Architectures,AWS RDS SQL Reference Architecture,https://support.timextender.com/reference-architectures-125/aws-rds-sql-reference-architecture-1000
Getting Started,Reference Architectures,On-Prem SQL Server Reference Architecture,https://support.timextender.com/reference-architectures-125/on-prem-sql-server-reference-architecture-809
Getting Started,Reference Architectures,Azure SQL Database Reference Architecture,https://support.timextender.com/reference-architectures-125/azure-sql-database-reference-architecture-803
Getting Started,Add and Configure Instances,Add ODX Instances,https://support.timextender.com/add-and-configure-instances-127/add-odx-instances-717
Getting Started,Add and Configure Instances,Add and Configure Data Sources,https://support.timextender.com/add-and-configure-instances-127/add-and-configure-data-sources-819
Getting Started,Add and Configure Instances,Add Data Warehouse Instances,https://support.timextender.com/add-and-configure-instances-127/add-data-warehouse-instances-718
Getting Started,Add and Configure Instances,Add Semantic Model Instances,https://support.timextender.com/add-and-configure-instances-127/add-semantic-model-instances-719
Getting Started,Add and Configure Instances,Multiple Environments,https://support.timextender.com/add-and-configure-instances-127/multiple-environments-1527
Getting Started,Configure Resources,Use Azure SQL Databases as Storage for your Instances,https://support.timextender.com/configure-resources-126/use-azure-sql-databases-as-storage-for-your-instances-801
