question,asked,answered,avg_correct
"In a TimeXtender Data Warehouse, when creating a custom transformation, you notice you can configure Parameters. What do these do?",77,67,32.50%
"You use your team’s user credentials with RDP to log on to a virtual machine in Azure which runs TimeXtender. You notice that some check boxes are not showing up correctly. Also, you are unable to drag and drop fields to a table. How should you resolve this issue?",71,71,33.80%
 How is data security ensured for the credentials entered in the TimeXtender Portal app.timextender.com? Select correct statement(s),76,70,38.00%
How does TimeXtender handle frequent changes in Source data structure and/or design?,25,22,40.00%
"When looking at schemas, what is the order of precedence in the schema settings between tables, data warehouses, and data sources?",43,42,41.90%
"For System Control Fields DW_Id and DW_Batch, which field(s) allow you to control its starting value?",115,105,42.60%
In which layer/ component should you break down complex data file(s) for TimeXtender that are exported from an XML data source? (Select All correct answers),120,112,43.00%
Which statement is true? ,165,156,44.20%
"In Table Performance Settings, the following option is enabled by default: ""Enable Physical Valid Table"".",84,75,45.20%
Which of the following would be the most likely scenario for you to disable this option?,,,
"You are looking to implement Surrogate Keys for a Type II slowly changing dimension, what method should you use?",135,122,45.90%
"Your team has designed big data analytics for weather forecasting research using TimeXtender. In your DSA database table RegionTemperature, there are fields Season and Rain_Inches. Your BI consultant has defined two separate data selection rules on this table:",133,125,46.60%
Rule#1: Season Equals Spring,,,
Rule#2: Rain_Inches Greater or Equal 5,,,
Which data rows will qualify to be imported into the table?,,,
"When manually executing objects in the TimeXtender interface with a SQL storage, the SQL database is accessed using which identity?",122,114,47.50%
Scenario: Real-Time Analytics,120,111,48.70%
"During your requirements gathering you speak with the manufacturing department. The plant manager would like to get real-time data from all the IOT sensors and asks you if this is something your project can help with. After a bit of research, you learn that you can use the Azure IOT Hub and Azure Stream Analytics to ingest the IOT sensor data into multiple Azure storage options including Blob storage, SQL Database and Synapse.",,,
Which of the below options would be supported by the TimeXtender data estate (Select ALL that apply)?,,,
Scenario: Architecture Design,138,121,49.90%
"As you prepare to embark on your Data Estate build-out, you begin to gather information from the business to understand the types of data you will need to handle. Once your analysis is done you determine all the existing infrastructure is on-premise, however, many business units have plans to migrate to cloud-based SaaS replacements. Eventually your solution will need to consume over 30 data sources with a combined 1,500 tables. The resulting data warehouse will likely be several Terabytes including fact tables with over 1 billion rows. ",,,
Which platforms are best suited for each area of TimeXtender to support your organizations data needs?,,,
How do you handle Early Arriving facts (when facts are available before the related dimensions in a data warehouse) in TimeXtender ?,54,46,50.00%
"If you have an existing data warehouse AND a semantic model, you may simply turn on Show System Fields at the Project Level and each table and model will show these fields. Is that correct?",53,53,50.90%
"You are working on your Modern Data Warehouse, and when executing a table you receive the following error: ",72,64,51.40%
The given value of type String from the data source cannot be converted to type bigint of the specified target column.,,,
What does it mean and how can you fix it? Select correct statement(s),,,
"When incremental loading a table, the delta loaded rows can be viewed in? (select ALL that apply)",126,118,52.00%
Picture,108,103,53.70%
Select statement(s) which are true about ODX,78,70,54.90%
"When manually executing a project in TimeXtender, the execution is running in the context of?",127,117,55.10%
"True or false: When using Azure Data Factory to transfer data from the data source into the ODX storage, all data will pass through the ODX Application Server.",143,131,55.20%
True or False: TimeXtender allows you to resume a failed execution from within the Execution Log.,133,124,55.60%
"True or False: Project perspectives can be used for security purposes, by restricting what developers can see?",125,117,56.00%
What are the steps necessary to add an Azure Data Lake Storage to your TimeXtender Environment ?,142,134,56.30%
What is the purpose of the Shared Semantic Layer (SSL) component in TimeXtender? Select correct statement(s),92,85,57.10%
In which module of the TimeXtender platform should you handle the integration of disparate data into a single version of truth?,62,55,58.10%
"For Index Generation settings in TimeXtender, which of the following is an invalid option?",117,110,58.10%
"When using Multiple Environments, how do you control which environment you are inside?",56,56,58.90%
"You have TimeXtender open and are executing an execution package or a table manually. What will happen if you press the ""Stop"" button?",139,131,59.00%
"In ODX, which of the following Storage Management task options are used to consolidate smaller incremental files into larger files using Azure Data Factory? ",72,62,59.70%
Where would you input data source credentials in TimeXtender? ,78,71,60.30%
"You have an ODX data source, which stores a table in an Azure Data Lake storage. When you preview the table in the ODX, it reports a total row counts of 1005 rows. When you query the data source directly, it reports a total row count of 1000 rows. What is the most likely cause of this difference?",73,64,60.30%
Scenario: Migrate to Production,73,69,60.30%
"You have completed the development and testing of multiple user requests and are now ready to transfer to production. You want to ensure minimal downtime for your users as well as the lowest possibility of errors. So, you are developing a series of steps you will take for a problem-free transfer (which you have begun writing below), however you could not remember the correct tasks for steps 3-6. ",,,
"Step 1 - In the source environment, Deploy & Execute the entire project to ensure ETL can run without error.",,,
"Step 2 - In the source environment, create an execution package that includes all the updated (and dependent) tables as well as mark any necessary tables for full load.",,,
Step 3 – ,,,
Step 4 - ,,,
Step 5 - ,,,
Step 6 - ,,,
"Step 7 - In the destination environment, validate the data in updated tables & any impacted reports. ",,,
"Step 8 - In the destination environment, start the Scheduler service. ",,,
Which of the below statement(s) are true about TimeXtender instances?,72,63,60.40%
Mark each of the below statements about Custom Code as True or False.,71,67,60.60%
"How fast can you produce real-time documentation of your entire data warehouse project in TimeXtender? (Let's assume you are trying to do this quickly, and your answer includes generating the PDF. (Actual may vary slightly based on your environment, memory, and familiarity with the platform)",56,55,60.70%
"When adding a Qlik Sense Enterprise Semantic Endpoint, you are limited to which authentication option(s)? (Select All that apply)",83,81,60.80%
"In TimeXtender, where can you set Primary Key Behavior ? Select correct statement(s)",61,53,61.50%
"You recently added several fields to a table, however, when previewing the table, these newly added fields are still NULL. What are some possible reasons for these null values? Select correct statement(s)",61,53,61.50%
"What are the four relationship types, which TimeXtender uses to treat relation violations?",110,98,61.80%
You get an error 'Cannot create DTS package' when executing a table. What do you check? (Select All that Apply),69,68,61.90%
"You try to delete a project through Repository Administration tool, but it shows an error. What is the likely cause ?",79,77,62.00%
What format will data be stored in when you use an Azure Data Lake as ODX Storage?,132,126,62.10%
"True or False: For connecting to SAP R3 data the only option is to use the CData connector, that is using the SAP function RFC_READ_TABLE",61,60,62.30%
"In TimeXtender version 20.5 and later, which of the following data transfer methods are supported? Select correct statement(s)",117,108,62.40%
How can TimeXtender help migrating a TimeXtender build solution from On-prem to Cloud?,22,19,63.70%
"In a TimeXtender Data Warehouse, at which of the following Level(s) can you assign security roles access to data?",75,68,64.00%
"You create a Semantic Model, map tables from the MDW, and add a SSAS Tabular Endpoint. However, upon execution you receive the following error: ""A connection could not be made to the data source with the Name of 'MDW'."" How do you resolve? (Select Two)",178,167,64.00%
Please complete the following statement. Primary Key Behavior has to do with how TimeXtender… (select all that apply),96,86,64.10%
Scenario: Architecture Design,122,106,64.30%
"As you prepare to embark on your Data Estate build-out, you begin to gather information from the business to understand the types of data you will need to handle. Once your analysis is done you determine all the existing infrastructure is on-premise, however, many business units have plans to migrate to cloud-based SaaS replacements. Eventually your solution will need to consume over 30 data sources with a combined 1,500 tables. The resulting data warehouse will likely be several Terabytes including fact tables with over 1 billion rows. ",,,
"With your organizations data needs, you manager is concerned that TimeXtender will not be able to move and store this much data. What are some accurate details about TimeXtender you can tell your manager to ease his mind? Select correct statement(s)",,,
"You have successfully designed a TimeXtender Data estate with an ODX Server, MDW database and semantic layer.  Your ODX Server (with an Azure Data Lake storage) extracts data from an Oracle data source. You have run the ODX data source’s Synchronize and Transfer tasks without errors. Where can you look at data rows (extracted) to verify that the ODX tasks are working as expected? Select correct statement(s)",85,76,64.70%
How does TimeXtender help future-proof your data infrastructure? Select correct statement(s),84,77,64.90%
"When adding a new work item on the Product table, you notice the option “Add Work Item” was red. What does that mean?",120,114,65.00%
"Customer Prospect: ""Though our data team is small, I think we have too much data for TimeXtender to be effective. Our legacy data warehouse has over 5TB"" (please select all appropriate responses)",40,38,65.00%
You need to identify all objects used by a specific semantic model. Which feature do you use? (Select all that apply),160,150,65.30%
"The purpose of Project Perspectives is to help developers to filter what is shown, in a larger project. If you choose a static perspective, what will you filter? (select ALL that apply)",57,55,65.70%
"After upgrading to a newer version, you notice that your nightly-load package did not execute, and data was not uploaded. You try to execute the Scheduler Service, but it fails with this error:",44,44,65.90%
---------------------------,,,
The TimeXtender Scheduler <version> service on Local Computer started and then stopped. Some services stop automatically if they are not in use by other services or programs.,,,
---------------------------,,,
